Site Name	Owner	Company CEO	CEO Annual Pay	Company Net Profit	Company Reported MT of Salmon harvested in a year	Latitude	Longitude	Farm Type	Type of Salmon Grown	Brand Names Sold Under	Date Registered	National Grid Reference	Nation	Region or Province	Local Authority	Location	Farm Site Licensed 2017-2020?	Feed Discharged Per Year In Metric Tons (MT)	Reported Green House Gas (GHG) C02 MT emissions from feed discharged per annum	Salmon Grown Per Year	Approx. effluent rate based on stocking size	Algae Blooms	# Salmon Mortalities 2012-2020	Locally Reported Impact on Wildlife and Area	Lifetime Reported Escapes 1998-2020	Infectious Salmon Anaemia Virus Outbreak 2012-2020 (ISAv)	Piscine Reovirus Outbreak (PRV)	Infectious Pancreatic Necrosis Virus Confirmed 2012-2020 (IPNv)	Sealice Outbreaks	Sealice Treatments	Florfenicol Treatments	Reported SLICE®, emamectin benzoate (EMB)Treatments
Marsh Bay	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.906038	-127.339982	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Stuart Rock N. of P. Hardy	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	4000	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Mayne Pass	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.389849	-125.534694	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	W. end of E. Thurlow Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Midsummer Island, Spring Passage	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.656604	-126.66578	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Broughton Archipelago, Spring Passage	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	2500	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Monday Rocks	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.485822	-127.875999	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Quatsino Sound	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	3240	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Owen Point	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.464737	-125.297406	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Thurlow	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Phillips Arm	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.488231	-125.356524	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Cardero Channel	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	2550	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Poison Creek	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.620972	-125.535875	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Loughborough Inlet	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Port Elizabeth	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.670938	-126.476564	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Gilford Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	2860	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Port Hardy 	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.743144	-127.449066	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Port Hardy	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	1600	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Pott's Bay	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.650232	-126.618145	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Broughton Archipelago, Spring Passage	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Raynor Group	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.892747	-127.253119	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Varg Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	2550	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Read Island	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.160203	-125.142507	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Bear Bay	Eastern Side-Vancouver Island-BC	Fallow	Info coming soon	Info coming soon	1425	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Robertson Island	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.937537	-127.423766	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Richards Channel	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3600	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Sargeaunt Passage	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.673376	-126.185943	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Tribune Channel	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	5258	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Shaw Point	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.486252	-125.88861	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Sunderland Channel	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	2550	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Sheep Passage	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	52.795881	-128.311167	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Vicinity of Pooley Isl.	Central Coast, BC	Y	Info coming soon	Info coming soon	4165	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Shelter Bay	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.964698	-127.453756	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Richards Channel	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3500	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Shelter Pass	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.882336	-127.496626	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Wishart Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3300	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Smith Rock	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.808764	-126.420223	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Tribune Channel	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	"they dumped everything over when site was moved, we used underwater rover to film site under ff in hardy bay and it was littered with all their junk"	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Sonora Island/Okosillo	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.30956	-125.315778	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Sonora Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3300	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Sonora Pt.	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.421612	-125.303131	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Nodales Channel	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	5250	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Swanson Island	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.618701	-126.704649	Sea Farm	Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Broughton Archipelago	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3294	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Thorpe Point	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.578112	-127.609777	Sea Farm	Pilchard (Sardinops sagax), Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Holberg Inlet	Western Shore-Vancouver Island, BC	Fallow	Info coming soon	Info coming soon	765	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Thurlow Point South	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.408056	-125.340898	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	E. Thurlow Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3315	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Upper Retreat Passage	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.72486	-126.575322	Sea Farm	Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Fox Group	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	1840	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Victoria Lake	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.313428	-127.352579	Freshwater Hatchery	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	S. end of Victoria Lake	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Wanx talis	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.897142	-127.943743	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Hope Island, Heath Bay	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3500	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Wicklow Point	Marine Harvest Canada (MOWI)	Ivan Vindheim	$1,667,957.10 (2019)	$838,514,835.00 (EBIT-2019)	436,000 MT harvested (2019)	50.786585	-126.691569	Sea Farm	Atlantic Salmon (Salmo salar)	MOWI, Appeti Marine, Mowi Salmon, Donegal Silver, Admiral's, Pieters, Laschinger, Kritsen, Ducktrap River, Harbour Salmon Co, Rebel Fish, Sterling, Marine Harvest, Olav's	N/A	N/A	Canada	British Columbia	Broughton Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3600	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
